IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
65.75.193.187	34237	TRUE	SJC	North America	San Jose	166 ms	11369 kB/s
13.124.44.168	80	FALSE	ICN	Asia Pacific	Seoul	108 ms	13766 kB/s
15.165.49.161	8080	TRUE	ICN	Asia Pacific	Seoul	112 ms	13086 kB/s
18.167.194.154	443	TRUE	HKG	Asia Pacific	Hong Kong	132 ms	8971 kB/s
13.250.131.37	443	TRUE	SIN	Asia Pacific	Singapore	102 ms	8824 kB/s
99.83.209.185	443	TRUE	IAD	North America	Ashburn	171 ms	8766 kB/s
13.60.91.143	443	TRUE	ARN	Europe	Stockholm	194 ms	8599 kB/s
18.167.208.181	443	TRUE	HKG	Asia Pacific	Hong Kong	143 ms	8148 kB/s
140.238.19.2	443	FALSE	NRT	Asia Pacific	Tokyo	79 ms	13688 kB/s
140.238.29.117	443	FALSE	NRT	Asia Pacific	Tokyo	71 ms	10632 kB/s
146.56.161.229	443	TRUE	NRT	Asia Pacific	Tokyo	74 ms	25150 kB/s
64.110.88.46	443	TRUE	ICN	Asia Pacific	Seoul	84 ms	23548 kB/s
192.9.246.112	8443	TRUE	SJC	North America	San Jose	174 ms	10754 kB/s
192.18.134.22	443	TRUE	SJC	North America	San Jose	172 ms	10696 kB/s
150.230.47.17	443	TRUE	SJC	North America	San Jose	177 ms	10161 kB/s
152.70.117.136	443	TRUE	SJC	North America	San Jose	173 ms	9735 kB/s
132.145.93.198	2083	TRUE	NRT	Asia Pacific	Tokyo	81 ms	9629 kB/s
47.76.77.103	2086	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	23733 kB/s
47.76.178.146	2086	FALSE	HKG	Asia Pacific	Hong Kong	70 ms	17099 kB/s
47.76.159.146	2082	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	16138 kB/s
8.218.18.235	2052	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	14638 kB/s
47.238.40.58	2086	FALSE	HKG	Asia Pacific	Hong Kong	70 ms	14179 kB/s
47.76.178.146	2052	FALSE	HKG	Asia Pacific	Hong Kong	68 ms	13403 kB/s
47.76.204.76	2052	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	12361 kB/s
47.238.6.102	2052	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	11291 kB/s
47.238.6.102	2082	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	11140 kB/s
47.238.40.58	8080	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	10280 kB/s
8.219.0.48	2095	FALSE	SIN	Asia Pacific	Singapore	214 ms	10062 kB/s
47.76.204.76	2082	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	9844 kB/s
47.238.40.58	2095	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	9097 kB/s
47.237.0.31	2086	FALSE	SIN	Asia Pacific	Singapore	212 ms	8974 kB/s
8.222.214.231	2052	FALSE	SIN	Asia Pacific	Singapore	213 ms	8971 kB/s
47.238.40.58	8880	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	8951 kB/s
47.236.97.90	80	FALSE	SIN	Asia Pacific	Singapore	223 ms	8833 kB/s
47.76.178.146	2082	FALSE	HKG	Asia Pacific	Hong Kong	77 ms	8826 kB/s
8.222.179.231	2082	FALSE	SIN	Asia Pacific	Singapore	231 ms	8541 kB/s
47.236.169.164	8880	FALSE	SIN	Asia Pacific	Singapore	234 ms	8413 kB/s
47.236.144.196	80	FALSE	SIN	Asia Pacific	Singapore	217 ms	8364 kB/s
8.222.191.138	2082	FALSE	SIN	Asia Pacific	Singapore	211 ms	8261 kB/s
47.236.170.54	8080	FALSE	SIN	Asia Pacific	Singapore	214 ms	8240 kB/s
8.219.99.169	2086	FALSE	SIN	Asia Pacific	Singapore	209 ms	8224 kB/s
8.219.161.129	2052	FALSE	SIN	Asia Pacific	Singapore	230 ms	8196 kB/s
47.236.170.54	8880	FALSE	SIN	Asia Pacific	Singapore	219 ms	8187 kB/s
8.219.117.198	2095	FALSE	SIN	Asia Pacific	Singapore	222 ms	8169 kB/s
8.219.104.37	2095	FALSE	SIN	Asia Pacific	Singapore	219 ms	8100 kB/s
47.236.169.164	2086	FALSE	SIN	Asia Pacific	Singapore	219 ms	8094 kB/s
8.219.113.232	2086	FALSE	SIN	Asia Pacific	Singapore	208 ms	8061 kB/s
47.236.144.196	2052	FALSE	SIN	Asia Pacific	Singapore	217 ms	8053 kB/s
47.76.159.146	2053	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	21815 kB/s
47.76.77.103	2083	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	17448 kB/s
47.76.77.103	8443	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	16635 kB/s
47.237.95.146	2087	TRUE	SIN	Asia Pacific	Singapore	239 ms	9597 kB/s
47.238.40.58	2087	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	9423 kB/s
47.76.178.146	2053	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	9282 kB/s
47.238.40.58	2053	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	8868 kB/s
47.237.95.156	2096	TRUE	SIN	Asia Pacific	Singapore	231 ms	8842 kB/s
47.76.159.146	2083	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	8160 kB/s
35.201.203.106	443	TRUE	TPE	Asia Pacific	Taipei	89 ms	10978 kB/s
